City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
471,Karratha,AU,-20.74,116.85,59.04,26,6,17.38,clear sky
472,Grindavik,IS,63.84,-22.43,53.91,87,75,6.91,broken clouds
473,Nankana Sahib,PK,31.45,73.70,80.85,57,15,5.17,light rain
474,Mount Gambier,AU,-37.83,140.77,42.71,100,75,9.22,broken clouds
475,Burnie,AU,-41.07,145.92,49.01,90,100,6.22,light rain
476,Maumere,ID,-8.62,122.21,78.93,81,81,8.03,broken clouds
477,Shinpokh,PK,34.33,71.18,85.41,62,6,3.2,clear sky
478,Santa Barbara,US,34.73,-120.03,94.14,35,1,10.36,clear sky
479,Novodolinskiy,KZ,49.70,72.70,55.98,55,1,10.76,clear sky
480,North Bend,US,43.41,-124.22,76.24,86,1,17.27,clear sky
481,Brokopondo,SR,4.75,-55.17,78.78,79,49,2.71,light rain
482,Labuan,MY,5.28,115.24,80.96,83,20,5.01,few clouds
483,Gat,IL,31.61,34.76,85.41,47,0,4.32,clear sky
484,Umm Lajj,SA,25.02,37.27,89.11,46,5,0.54,clear sky
485,Deputatskiy,RU,69.30,139.90,44.98,53,6,5.75,clear sky
486,Black River,JM,18.03,-77.85,88.99,66,59,6.31,light rain
487,La Ronge,CA,55.10,-105.28,86.25,25,75,1.14,smoke
488,Hovd,MN,48.01,91.64,59.63,50,0,2.21,clear sky
489,Havre-Saint-Pierre,CA,50.23,-63.60,61.16,77,90,8.05,overcast clouds
490,Batemans Bay,AU,-35.72,150.18,54.91,74,69,8.16,broken clouds
491,Semporna,MY,4.48,118.61,75.4,80,60,5.35,heavy intensity rain
492,Pozo Colorado,PY,-23.49,-58.80,64.78,38,18,5.66,few clouds
493,Myrtle Beach,US,33.69,-78.89,88.09,74,1,8.05,clear sky
494,Longonjo,AO,-12.91,15.25,61.41,35,0,1.9,clear sky
495,Katangli,RU,51.71,143.23,53.28,93,100,12.73,overcast clouds
496,Hambantota,LK,6.12,81.12,79.14,94,0,9.22,clear sky
497,Ibicui,BR,-14.84,-39.99,61.93,81,72,1.86,broken clouds
498,Port Lincoln,AU,-34.73,135.87,51.64,62,65,18.99,broken clouds
499,Muzhi,RU,65.37,64.67,51.6,85,66,2.3,broken clouds
500,Arman,RU,59.70,150.17,52.95,49,0,10.76,clear sky
501,Cerro De Pasco,PE,-10.68,-76.27,43.54,53,11,11.21,few clouds
502,Peniche,PT,39.36,-9.38,67.75,88,31,17.87,scattered clouds
503,Salalah,OM,17.02,54.09,78.89,89,90,5.75,overcast clouds
504,Oshakati,NA,-17.78,15.68,64.42,29,0,11.21,clear sky
505,Saint-Leu,RE,-21.15,55.28,65.68,70,1,1.16,clear sky
506,Wamba,NG,8.93,8.60,70.74,95,97,2.75,light rain
507,Trebechovice Pod Orebem,CZ,50.20,15.99,60.35,97,8,1.01,clear sky
508,Waipawa,NZ,-41.41,175.52,48.83,82,100,12.86,overcast clouds
509,Uruzgan,AF,32.83,66.00,72.95,15,0,5.17,clear sky
510,San Fernando,PH,15.03,120.69,82.96,87,100,9.91,light rain
511,Pangnirtung,CA,66.15,-65.71,48.2,93,75,14.97,broken clouds
512,Chester,US,40.13,-75.87,80.83,56,20,1.01,few clouds
513,Asau,RO,46.43,26.40,67.28,94,23,3.44,light rain
514,Ocher,RU,57.89,54.72,62.94,91,99,1.63,overcast clouds
515,Haines Junction,CA,60.75,-137.51,73.35,43,94,1.14,light rain
516,Nusaybin,TR,37.08,41.22,88.11,27,9,3.31,clear sky
517,Nizhniy Ufaley,RU,55.92,59.98,59.36,86,71,4.0,broken clouds
518,Alice,US,27.75,-98.07,96.24,70,40,11.5,thunderstorm
519,Korla,CN,41.76,86.15,76.98,23,98,2.86,overcast clouds
520,Eyrarbakki,IS,63.86,-21.15,54.01,84,100,3.8,overcast clouds
521,Juegang,CN,32.32,121.19,81.99,91,0,10.71,light rain
522,Pastavy,BY,55.12,26.83,55.18,95,88,9.57,overcast clouds
523,Wuwei,CN,37.93,102.64,64.53,69,100,5.82,overcast clouds
524,Likasi,CD,-10.98,26.73,59.99,46,4,3.2,clear sky
525,Kishi,NG,9.08,3.85,71.24,94,100,4.56,overcast clouds
526,Krasnomayskiy,RU,57.62,34.41,61.32,94,80,15.99,broken clouds
527,San Rafael,AR,-34.62,-68.33,61.95,24,0,11.92,clear sky
528,Filadelfia,US,39.95,-75.16,83.32,46,40,3.0,scattered clouds
529,Almaznyy,RU,48.04,40.05,71.74,40,5,1.52,clear sky
530,Krasnoselkup,RU,65.70,82.47,60.53,86,99,9.08,overcast clouds
531,Sterling,US,39.01,-77.43,84.0,46,20,3.0,few clouds
532,Xinye,CN,32.52,112.35,75.0,79,4,8.23,clear sky
533,Zhengjiatun,CN,43.51,123.51,65.1,88,100,4.41,overcast clouds
534,Jena,DE,50.93,11.58,62.11,85,19,1.01,few clouds
535,Mutis,CO,6.23,-77.40,80.96,83,93,6.93,light rain
536,Lingsugur,IN,16.17,76.52,73.15,79,80,16.42,broken clouds
537,Marzuq,YE,14.40,46.47,82.65,49,98,6.62,overcast clouds
538,Alta Floresta,BR,-9.88,-56.09,87.6,26,53,5.73,broken clouds
539,Husavik,IS,66.04,-17.34,55.31,88,79,4.36,broken clouds
540,Aripuana,BR,-9.17,-60.63,82.65,35,12,2.21,few clouds
541,North Branch,US,45.51,-92.98,85.48,51,81,4.61,broken clouds
542,Areka,ET,7.07,37.70,60.62,85,74,1.61,broken clouds
543,Jalu,LY,29.03,21.55,88.75,24,0,10.07,clear sky
544,Salym,RU,60.06,71.48,54.88,98,95,4.74,overcast clouds
545,Buala,SB,-8.14,159.59,79.48,83,61,7.61,light rain
546,Ciudad Bolivar,VE,8.12,-63.55,76.55,86,99,5.14,overcast clouds
547,Klaksvik,FO,62.23,-6.59,50.92,86,100,11.32,overcast clouds
548,Bonthe,SL,7.53,-12.51,76.21,75,37,6.08,scattered clouds
549,Mawlaik,MM,23.63,94.42,74.98,99,87,0.94,overcast clouds
550,Ishigaki,JP,24.34,124.16,78.93,100,75,2.3,broken clouds
551,Shirokiy,RU,49.76,129.52,67.03,99,100,3.06,moderate rain
552,Nantucket,US,41.28,-70.10,78.94,66,1,16.11,clear sky
553,Garowe,SO,8.41,48.48,80.64,50,98,27.2,overcast clouds
554,Pochutla,MX,15.74,-96.47,90.82,61,87,6.87,overcast clouds
555,Abu Zabad,SD,12.35,29.25,76.19,75,100,10.38,overcast clouds
556,Placerville,US,38.73,-120.80,100.04,20,1,1.01,clear sky
557,Hurghada,EG,27.26,33.81,86.04,74,0,0.0,clear sky
558,Adre,TD,13.47,22.20,75.0,81,90,6.24,overcast clouds
559,Viernheim,DE,49.54,8.58,62.42,93,45,2.06,scattered clouds
560,Takoradi,GH,4.88,-1.76,76.84,84,48,7.56,scattered clouds
561,Ballina,AU,-28.87,153.57,64.36,94,90,5.75,overcast clouds
562,Yakeshi,CN,49.28,120.73,58.75,85,45,2.98,scattered clouds
563,Mayumba,GA,-3.43,10.66,72.52,92,27,3.53,scattered clouds
564,Kolda,SN,12.88,-14.95,77.31,94,40,4.61,scattered clouds
565,Nasriganj,IN,25.05,84.33,80.24,81,86,4.65,overcast clouds
566,Kiunga,PG,-6.12,141.29,71.19,91,80,2.95,broken clouds
567,Nivala,FI,63.92,24.97,51.69,81,100,6.17,light rain
568,Beloha,MG,-25.17,45.05,63.23,80,0,4.59,clear sky
569,Rio Grande,BR,-32.03,-52.10,55.51,91,10,7.54,clear sky
570,Colac,AU,-38.33,143.58,44.83,95,51,7.65,broken clouds
571,Meadow Lake,US,34.80,-106.54,85.6,39,87,8.23,overcast clouds
572,Tatawin,TN,32.93,10.45,92.28,60,10,5.44,clear sky
573,Krasnyye Tkachi,RU,57.49,39.76,71.42,70,36,15.61,heavy intensity rain
574,Las Matas De Farfan,DO,18.87,-71.52,81.03,66,98,4.7,overcast clouds
575,Zalantun,CN,48.00,122.72,60.12,90,100,6.44,moderate rain
576,Padang,ID,-0.95,100.35,75.25,83,100,4.0,overcast clouds
577,Yuncheng,CN,35.02,110.99,73.8,76,2,4.88,clear sky
578,Lugovoy,KZ,42.95,72.76,72.01,22,88,4.74,overcast clouds
579,Tagusao,PH,9.19,117.81,81.77,79,100,15.59,overcast clouds
580,The Valley,AI,18.22,-63.06,84.81,74,20,103.57,few clouds
581,Turayf,SA,31.67,38.66,82.65,32,0,11.5,clear sky
582,Synya,RU,65.37,58.04,54.37,96,89,4.14,overcast clouds
583,Bumba,CD,2.18,22.47,72.95,84,100,1.61,overcast clouds
584,Nava,MX,28.42,-100.77,84.99,72,97,8.48,overcast clouds
585,Coihaique,CL,-45.58,-72.07,48.81,49,20,0.0,few clouds
586,Amga,RU,60.90,131.96,60.93,83,100,7.47,overcast clouds
587,Ketchikan,US,55.34,-131.65,64.87,59,90,13.8,overcast clouds
588,Boden,SE,65.83,21.69,53.6,62,100,3.44,overcast clouds
589,Birobidzhan,RU,48.80,132.95,69.49,90,97,3.65,overcast clouds
590,Virginia Beach,US,36.85,-75.98,83.03,58,75,10.36,broken clouds
591,Faya,SA,18.39,42.45,66.31,73,100,10.47,overcast clouds
592,Dombarovskiy,RU,50.76,59.54,74.01,36,11,3.31,few clouds
593,Damnagar,IN,21.70,71.52,79.18,79,98,14.45,overcast clouds
594,Nikolsk,RU,53.72,46.07,70.34,54,39,8.21,scattered clouds
595,Powell River,CA,49.85,-124.54,79.0,60,20,8.05,few clouds
596,Khorixas,NA,-20.37,14.97,68.34,24,0,8.95,clear sky
597,Porto Walter,BR,-8.27,-72.74,85.69,34,6,2.77,clear sky
598,Opuwo,NA,-18.06,13.84,60.3,39,0,3.78,clear sky
599,Makakilo City,US,21.35,-158.09,82.72,52,20,13.8,few clouds
600,Guerrero Negro,MX,27.98,-114.06,85.21,45,12,12.06,few clouds
601,Coruripe,BR,-10.13,-36.18,72.01,88,34,10.74,scattered clouds
602,Port Blair,IN,11.67,92.75,81.59,83,99,21.32,overcast clouds
603,Sukhumi,GE,43.00,41.02,71.89,92,87,4.83,overcast clouds
604,Santa Luzia,BR,-19.77,-43.85,70.7,45,0,8.05,clear sky
605,Alekseyevka,RU,50.63,38.69,73.62,55,15,8.23,few clouds
606,Tungor,RU,53.38,142.96,54.57,88,100,9.37,overcast clouds
607,Orange,US,33.70,-117.77,111.04,46,20,1.99,smoke
608,Hirara,JP,24.80,125.28,81.72,83,93,12.93,overcast clouds
609,Kawalu,ID,-7.38,108.21,71.46,98,98,1.86,overcast clouds
610,Alice Town,BS,25.72,-79.30,85.14,72,100,10.74,overcast clouds
611,Raudeberg,NO,61.99,5.14,51.87,80,21,16.64,few clouds
612,Troitsko-Pechorsk,RU,62.71,56.20,55.09,97,6,2.89,clear sky
613,Acapulco,MX,16.86,-99.89,89.42,66,1,10.36,clear sky
614,Storforshei,NO,66.40,14.52,47.98,81,75,3.44,broken clouds
615,Tondi,IN,9.73,79.02,83.88,54,83,9.01,broken clouds
616,Jizan,SA,17.33,42.67,83.34,69,100,15.59,overcast clouds
617,Owo,NG,7.20,5.59,70.84,96,100,2.77,overcast clouds
618,Corn Island,NI,12.17,-83.04,81.88,82,88,17.25,overcast clouds
619,Vao,NC,-22.67,167.48,66.45,66,0,6.11,clear sky
620,Mantua,IT,45.17,10.78,70.75,84,51,1.99,broken clouds
621,Palmer,US,42.16,-72.33,79.56,49,20,1.99,few clouds
622,Cairns,AU,-16.92,145.77,69.94,80,75,6.91,broken clouds
623,Hami,CN,42.80,93.45,76.73,21,1,5.7,clear sky
624,Port Shepstone,ZA,-30.74,30.45,61.56,85,100,10.65,light rain
625,Santa Cruz,BO,-17.80,-63.17,73.11,24,0,4.72,clear sky
626,Kurumkan,RU,54.30,110.30,59.14,71,70,1.54,broken clouds
627,Ostroh,UA,50.33,26.51,57.0,94,80,6.29,broken clouds
628,Socorro,US,31.65,-106.30,93.45,37,75,6.91,broken clouds
629,Jidong,CN,45.22,131.08,72.63,73,38,3.4,scattered clouds
630,Bayeux,BR,-7.12,-34.93,74.03,94,75,8.05,broken clouds
631,Lebork,PL,54.54,17.75,60.35,86,2,10.36,clear sky
632,Gondanglegi,ID,-7.75,112.01,74.57,91,38,13.85,scattered clouds
633,Baracoa,CU,20.35,-74.50,83.35,75,100,7.11,overcast clouds
634,Immokalee,US,26.42,-81.42,92.98,54,77,10.92,light rain
635,Popondetta,PG,-8.75,148.25,78.39,75,77,1.81,broken clouds
636,Alihe,CN,50.57,123.72,60.39,92,96,2.33,overcast clouds
637,Stephenville Crossing,CA,48.50,-58.43,67.21,72,90,4.61,overcast clouds
638,Sovetskiy,RU,61.36,63.58,60.19,75,89,4.5,overcast clouds
639,Nakamura,JP,32.98,132.93,77.38,90,33,1.59,scattered clouds
640,Cumberland,US,35.05,-78.87,88.61,60,1,9.22,clear sky
641,Havoysund,NO,71.00,24.66,49.08,82,19,21.79,few clouds
642,Champerico,GT,14.30,-91.92,93.74,70,89,9.28,overcast clouds
643,Omsukchan,RU,62.53,155.80,35.24,95,99,7.52,light rain
644,Vidalia,US,32.22,-82.41,91.51,66,1,4.61,clear sky
645,Mehnagar,IN,25.88,83.12,80.62,85,72,4.76,broken clouds
646,Iracoubo,GF,5.48,-53.20,78.19,84,72,8.37,broken clouds
647,Palembang,ID,-2.92,104.75,73.63,96,98,3.78,overcast clouds
648,Vieques,PR,18.43,-65.83,84.24,70,75,4.61,broken clouds
649,Biltine,TD,14.53,20.92,80.53,70,89,7.72,overcast clouds
650,Isla Vista,US,34.41,-119.86,103.35,50,1,6.91,clear sky
651,Daru,PG,-9.08,143.21,77.4,72,98,9.1,overcast clouds
652,Aksarka,RU,66.56,67.80,53.74,84,98,5.7,overcast clouds
653,Shitanjing,CN,39.23,106.34,63.81,74,100,7.72,moderate rain
654,Coron,PH,12.00,120.20,81.05,84,100,12.44,overcast clouds
655,Newport,GB,51.59,-3.00,60.08,86,87,7.52,overcast clouds
656,Kununurra,AU,-15.77,128.73,73.38,49,66,5.75,broken clouds
657,Yatou,CN,37.15,122.38,73.06,90,6,2.75,clear sky
658,Bologoye,RU,57.88,34.11,60.76,95,60,16.2,light rain
659,Cascais,PT,38.70,-9.42,67.86,77,20,8.01,few clouds
660,Sembakung,ID,3.82,117.25,75.13,98,100,2.59,overcast clouds
661,Bulungu,CD,-4.55,18.60,74.7,23,59,1.63,broken clouds
662,Biak,ID,-0.91,122.88,74.88,79,58,6.78,broken clouds
663,Esil,KZ,51.96,66.40,69.53,50,76,5.97,broken clouds
664,Slonim,BY,53.09,25.32,54.84,95,41,6.6,scattered clouds
665,Ystad,SE,55.43,13.82,62.98,82,5,10.27,clear sky
666,San Nicolas,PH,18.17,120.60,84.11,89,90,14.97,thunderstorm with light rain
667,Ixtapa,MX,20.70,-105.20,89.22,70,40,11.5,scattered clouds
668,Sayyan,YE,15.17,44.32,59.61,76,100,5.06,overcast clouds
669,Lufilufi,WS,-13.87,-171.60,82.18,70,76,10.13,broken clouds
670,Vila Franca Do Campo,PT,37.72,-25.43,70.21,80,0,6.78,clear sky
671,Pereira Barreto,BR,-20.64,-51.11,71.71,41,2,6.04,clear sky
672,Saint-Paul,RE,-21.01,55.27,66.74,72,1,2.1,clear sky
673,Gomel,BY,52.43,30.98,64.38,82,0,15.66,clear sky
674,Douglas,US,41.30,-96.17,81.14,47,40,3.0,scattered clouds
675,Kroya,ID,-7.63,109.25,76.08,89,94,9.69,overcast clouds
676,Ljungby,SE,56.83,13.94,55.8,76,11,3.91,few clouds
677,Arawa,PG,-6.21,155.54,80.49,85,44,2.28,scattered clouds
678,Puerto Carreno,CO,6.19,-67.49,71.19,96,100,4.92,overcast clouds
679,Ruidoso,US,33.33,-105.67,76.96,65,40,1.01,scattered clouds
680,Plettenberg Bay,ZA,-34.05,23.37,56.07,75,3,3.76,clear sky
681,Laibin,CN,23.70,109.27,79.86,85,79,0.49,broken clouds
682,Upata,VE,8.01,-62.40,73.27,92,63,3.13,broken clouds
683,Baixo Guandu,BR,-19.52,-41.02,55.92,69,86,5.39,overcast clouds
684,Laje,BR,-10.18,-40.97,64.58,85,91,10.38,overcast clouds
685,Ponta Delgada,PT,37.73,-25.67,70.52,73,20,9.22,few clouds
686,Nokaneng,BW,-19.67,22.27,57.22,33,0,6.69,clear sky
687,Mizdah,LY,31.45,12.98,82.83,26,0,9.1,clear sky
688,Saint-Georges,GD,12.06,-61.75,85.68,70,20,11.5,few clouds
689,Cienfuegos,CU,22.15,-80.44,95.81,66,97,9.22,overcast clouds
690,Leh,IN,34.17,77.58,62.8,45,18,5.57,few clouds
691,Vilyuysk,RU,63.76,121.62,64.26,52,0,6.49,clear sky
692,Kitimat,CA,54.05,-128.65,77.38,34,11,4.9,few clouds
693,Teguldet,RU,57.31,88.17,53.01,88,88,3.36,overcast clouds
694,Todos Santos,MX,23.45,-110.22,99.3,73,98,5.97,overcast clouds
695,Lowestoft,GB,52.48,1.75,58.12,71,100,4.03,overcast clouds
696,Alyangula,AU,-13.85,136.42,64.27,100,75,3.44,broken clouds
697,Mecca,SA,21.43,39.83,86.99,52,59,9.44,broken clouds
698,Devaprayag,IN,30.15,78.62,76.91,97,55,0.76,broken clouds
699,Smolenka,RU,52.14,113.50,57.27,100,40,0.0,scattered clouds
700,Panjab,AF,34.39,67.02,55.15,40,3,4.99,clear sky
701,Mo I Rana,NO,66.31,14.14,48.67,88,75,3.44,broken clouds
702,Inhambane,MZ,-23.86,35.38,67.46,80,0,10.85,clear sky
703,Mayo,US,38.89,-76.51,83.41,59,20,5.01,few clouds
704,Yaan,NG,7.38,8.57,73.38,91,99,6.29,light rain
705,Springdale,US,36.19,-94.13,85.82,51,1,8.99,clear sky
706,Agramonte,CU,22.68,-81.12,72.03,66,73,9.37,light rain
707,Ust-Kuyga,RU,70.02,135.60,63.66,36,0,2.57,clear sky
